"Timestamp","Your Name","1. Gender","2. Age","3. Department ","4. Academic Year","  5. Current Accommodation Type  ","  6. Did you apply for a hall seat?  ","7. Did you get a hall seat?  ","8. Number of people sharing your room  ","9. Satisfaction with your current living condition  ","  10. Distance from campus  ","  11. Daily commute time (one way)  ","  12. Total commuting time per day  ","  13. Mode of transport  ","  14. Daily transport cost  ","15. How often are you late due to commuting? ","  16. Monthly living cost  ","  17. Current CGPA  ","18. Average study hours/day  ","19. Class attendance (%)  ","20. Do you miss classes due to commuting?","21. Do you find it difficult to study after commuting? ","22. Have your grades decreased after your current living arrangement?","  23. Stress level  ","  24. Anxiety level  ","  25. Sleep hours/day","  26. Do you feel isolated?  ","  27. Do you feel academic pressure due to your current living situation?  ","28. Do you have a proper study environment at your residence?","29. Participation in extracurricular activities","30. Internet access quality","31. Financial stress level","  32. Does the expenses affect study?  ","33. How safe do you feel in your current residence?","34. Does safety concern affect your mental wellbeing or study?"
"2026/04/25 9:01:11 pm GMT+6","","Male","23-25","IIT","3rd Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus",">2hours","Walking","0","Sometimes",">8000","3.00–3.49","<2","70–85%","Yes","Yes","No","1","1","<5","No","No","No","1","1","1","Yes","1","1"
"2026/04/25 9:32:06 pm GMT+6","","Female","20-22","MIS","4th Year","University Hall","Yes","Yes","more than 4","4","On campus","on campus",">2hours","Rickshaw","100–200","Sometimes","<3000","3.50–4.00","2–4","85-100%","Yes","Yes","Yes","2","2","7-10","Maybe","No","Yes","2","2","2","Yes","2","2"
"2026/04/25 10:20:52 pm GMT+6","","Male","20-22","IIT","3rd Year","Rented Mess/Flat","Yes","No","more than 4","5","1–3 km","15–30 min","30–60 min","Bus","50–100","Sometimes","5000–8000","3.00–3.49","2–4","50–70%","Yes","Yes","No","2","2","5–6","No","No","No","3","4","3","Yes","3","3"
"2026/04/26 3:12:51 pm GMT+6","","Male","23-25","Microbiology ","3rd Year","University Hall","Yes","Yes","more than 4","1","On campus","on campus","30–60 min","Bus","<50","Never","5000–8000","3.00–3.49","<2","85-100%","No","No","No","1","1","5–6","No","No","Yes","2","5","1","No","1","1"
"2026/04/26 8:58:02 pm GMT+6","","Female","20-22","SWES","3rd Year","Rented Mess/Flat","Yes","No","2","5","1–3 km",">1 hour","1–2 hours","Bus","<50","Sometimes","5000–8000","3.00–3.49","<2","85-100%","Yes","Yes","Yes","3","3","7-10","Maybe","Yes","No","1","1","5","Yes","5","5"
"2026/04/28 5:35:30 pm GMT+6","","Male","20-22","IIT","1st Year","Rented Mess/Flat","No","No","single room","3",">5 km","30–60 min","30–60 min","Bus","0","Sometimes","5000–8000","3.00–3.49","2–4","50–70%","Yes","Yes","No","2","2","5–6","","No","No","2","4","4","Yes","2","2"
"2026/04/28 5:51:19 pm GMT+6","","Male","20-22","IIT(SE)","1st Year","Rented Mess/Flat","No","No","2","1","3–5 km","15–30 min","1–2 hours","Bus","<50","Never","3000–5000","3.00–3.49","4–6","85-100%","No","No","No","1","1","7-10","No","No","Yes","1","5","1","No","1","1"
"2026/04/28 7:12:15 pm GMT+6","","Male","20-22","IIT ","1st Year","University Hall","Yes","Yes","more than 4","3","On campus","on campus","<30 min","Walking","0","Sometimes","<3000","3.50–4.00","<2","85-100%","No","No","No","2","2","7-10","No","No","Yes","2","1","2","Yes","4","3"
"2026/04/29 6:33:25 pm GMT+6","","Female","20-22","DBA","2nd Year","Rented Mess/Flat","No","No","3","3",">5 km","15–30 min","30–60 min","Bus","<50","Sometimes","5000–8000","3.50–4.00","<2","50–70%","No","Yes","No","2","2","6–7","No","No","Yes","1","4","4","Yes","2","1"
"2026/04/29 6:36:55 pm GMT+6","","Female","20-22","Educational administration ","3rd Year","Rented Mess/Flat","No","No","2","2",">5 km","15–30 min","30–60 min","Bus","<50","Sometimes",">8000","3.50–4.00","<2","85-100%","No","No","No","1","3","7-10","Maybe","No","Yes","3","1","1","No","1","1"
"2026/04/30 1:23:02 pm GMT+6","","Female","23-25","Iit ","3rd Year","Living with Family","No","No","","5","1–3 km","30–60 min","1–2 hours","Bus","0","Never","3000–5000","3.00–3.49","<2","85-100%","No","No","No","3","3",">10","Yes","No","Yes","2","3","5","No","3","3"
"2026/04/30 2:37:12 pm GMT+6","","Female","20-22","EEE ","3rd Year","Rented Mess/Flat","No","No","1","3","3–5 km","15–30 min","30–60 min","Bus","0","Sometimes","5000–8000","3.50–4.00","2–4","85-100%","Yes","Yes","Yes","3","1","5–6","Maybe","Yes","No","1","3","5","Yes","3","4"
"2026/04/30 10:55:53 pm GMT+6","","Female","20-22","Bangla","1st Year","Rented Mess/Flat","Yes","No","2","3","3–5 km","30–60 min","1–2 hours","Bus","0","Sometimes",">8000","3.00–3.49","<2","70–85%","No","No","No","3","3","5–6","Maybe","Yes","Yes","2","4","3","Yes","3","3"
"2026/05/01 10:36:21 am GMT+6","","Male","20-22","IIT","1st Year","Living with Family","Yes","No","single room","5",">5 km",">1 hour",">2hours","Bus","50–100","Sometimes","3000–5000","3.50–4.00","<2","85-100%","Yes","Yes","Yes","2","2","5–6","Yes","Yes","No","1","1","4","Yes","1","1"
"2026/05/01 10:49:26 am GMT+6","","Female","20-22","Software engineering ","1st Year","Rented Mess/Flat","Yes","No","3","5","3–5 km","30–60 min",">2hours","Bus","<50","Sometimes","3000–5000","3.00–3.49","2–4","85-100%","Yes","Yes","No","2","2","5–6","Maybe","Yes","Yes","1","2","5","Yes","2","1"
"2026/05/05 12:37:36 pm GMT+6","","Male","23-25","IIT","3rd Year","University Hall","Yes","Yes","more than 4","5","On campus","on campus","<30 min","Walking","0","Often","5000–8000","3.00–3.49","<2","<50%","No","No","Yes","3","3","7-10","No","Yes","No","3","3","4","Yes","3","3"
"2026/05/05 12:47:01 pm GMT+6","","Female","20-22","IIT","3rd Year","Rented Mess/Flat","No","No","2","2",">5 km","30–60 min","1–2 hours","Bus","<50","Sometimes","3000–5000","3.00–3.49","<2","50–70%","No","Yes","Yes","3","3","6–7","Maybe","No","Yes","1","4","2","No","2","2"
"2026/05/05 12:50:21 pm GMT+6","","Male","23-25","Software Engineering","2nd Year","Rented Mess/Flat","Yes","No","3","3","<1 km","<15 min","<30 min","Walking","0","Sometimes","<3000","2.50–2.99","<2","50–70%","Yes","Yes","Yes","3","3","5–6","Yes","Yes","No","2","2","5","Yes","3","3"
"2026/05/05 1:24:08 pm GMT+6","","Female","20-22","IIT","3rd Year","Rented Mess/Flat","Yes","No","single room","4","1–3 km","15–30 min","<30 min","Rickshaw","<50","Often","5000–8000","3.00–3.49","2–4","85-100%","No","Yes","Yes","3","3","6–7","Yes","Yes","Yes","1","4","5","Yes","2","2"
"2026/05/05 1:26:08 pm GMT+6","","Female","23-25","IIT","3rd Year","Living with Family","No","No","2","3","1–3 km",">1 hour",">2hours","Bus","100–200","Often","5000–8000","3.50–4.00","<2","<50%","Yes","Yes","Yes","2","2",">10","Yes","Yes","Yes","1","3","4","Yes","5","3"
"2026/05/05 2:19:58 pm GMT+6","","Female","20-22","Software engineering ","2nd Year","University Hall","Yes","Yes","2","2","On campus","on campus","<30 min","Walking","0","Sometimes","3000–5000","3.00–3.49","4–6","70–85%","No","No","No","2","2","6–7","No","No","Yes","3","4","4","Yes","3","3"
"2026/05/05 2:20:11 pm GMT+6","","Male","20-22","IIT","3rd Year","University Hall","Yes","Yes","more than 4","2","On campus","<15 min","<30 min","Walking","0","Sometimes","5000–8000","3.50–4.00","2–4","70–85%","No","No","No","1","1","6–7","No","No","Yes","1","3","4","No","1","1"
"2026/05/05 2:29:50 pm GMT+6","","Female","20-22","Economics","2nd Year","Rented Mess/Flat","No","No","3","2",">5 km","30–60 min","1–2 hours","Bus","<50","Never","3000–5000","3.50–4.00","<2","85-100%","No","Yes","No","3","2","7-10","Maybe","No","Yes","1","4","1","No","1","1"
"2026/05/05 2:33:44 pm GMT+6","","Female","20-22","IIT","3rd Year","University Hall","Yes","Yes","1","4","<1 km","<15 min","1–2 hours","Walking","<50","Sometimes","3000–5000","3.50–4.00","<2","50–70%","No","No","Yes","2","2","7-10","Yes","No","No","2","2","2","Yes","1","3"
"2026/05/05 2:48:30 pm GMT+6","","Male","20-22","IIT","1st Year","Rented Mess/Flat","No","No","1","2",">5 km","30–60 min","1–2 hours","Bus","<50","Sometimes",">8000","3.00–3.49","<2","70–85%","Yes","Yes","Yes","2","2","6–7","Maybe","No","No","2","4","3","Yes","3","3"
"2026/05/05 2:52:17 pm GMT+6","","Female","23-25","Applied math ","3rd Year","Rented Mess/Flat","No","No","2","3","1–3 km","30–60 min","1–2 hours","Bus","<50","Sometimes","3000–5000","3.50–4.00","4–6","85-100%","No","Yes","No","2","2","6–7","Maybe","Yes","Yes","2","4","3","No","4","3"
"2026/05/05 3:04:44 pm GMT+6","","Female","23-25","Software Engineering (IIT)","2nd Year","Rented Mess/Flat","No","No","1","3","1–3 km","30–60 min",">2hours","Bus","<50","Often",">8000","3.00–3.49","2–4","70–85%","Yes","Yes","Yes","3","3","5–6","Maybe","Yes","Yes","1","3","5","Yes","2","3"
